Type,Name, Price 
ComponentOption,8'W x 7'H Overhead Door - Non-Insulated, $950.00 
ComponentOption,8'W x 7'H Overhead Door - Economy Insulated," $1,099.00 "
ComponentOption,8'W x 7'H Overhead Door - Standard Insulated," $1,230.00 "
ComponentOption,8'W x 7'H Overhead Door - Carriage House Style," $1,625.00 "
ComponentOption,9'W x 7'H Overhead Door - Non-Insulated, $995.00 
ComponentOption,9'W x 7'H Overhead Door - Economy Insulated," $1,140.00 "
ComponentOption,9'W x 7'H Overhead Door - Standard Insulated," $1,325.00 "
ComponentOption,9'W x 7'H Overhead Door - Carriage House Style," $1,725.00 "
ComponentOption,9'W x 8'H Overhead Door - Non-Insulated," $1,080.00 "
ComponentOption,9'W x 8'H Overhead Door - Economy Insulated," $1,205.00 "
ComponentOption,9'W x 8'H Overhead Door - Standard Insulated," $1,425.00 "
ComponentOption,9'W x 8'H Overhead Door - Carriage House Style," $1,825.00 "
ComponentOption,10'W x 7'H Overhead Door - Non-Insulated," $1,100.00 "
ComponentOption,10'W x 7'H Overhead Door - Economy Insulated," $1,250.00 "
ComponentOption,10'W x 7'H Overhead Door - Standard Insulated," $1,415.00 "
ComponentOption,10'W x 7'H Overhead Door - Carriage House Style," $1,810.00 "
ComponentOption,10'W x 8'H Overhead Door - Non-Insulated," $1,155.00 "
ComponentOption,10'W x 8'H Overhead Door - Economy Insulated," $1,330.00 "
ComponentOption,10'W x 8'H Overhead Door - Standard Insulated," $1,515.00 "
ComponentOption,10'W x 8'H Overhead Door - Carriage House Style," $1,910.00 "
ComponentOption,12'W x 7'H Overhead Door - Non-Insulated," $1,190.00 "
ComponentOption,12'W x 7'H Overhead Door - Economy Insulated," $1,465.00 "
ComponentOption,12'W x 7'H Overhead Door - Standard Insulated," $1,700.00 "
ComponentOption,12'W x 7'H Overhead Door - Carriage House Style," $2,285.00 "
ComponentOption,12'W x 8'H Overhead Door - Non-Insulated," $1,260.00 "
ComponentOption,12'W x 8'H Overhead Door - Economy Insulated," $1,560.00 "
ComponentOption,12'W x 8'H Overhead Door - Standard Insulated," $1,830.00 "
ComponentOption,12'W x 8'H Overhead Door - Carriage House Style," $2,415.00 "
ComponentOption,16'W x 7'H Overhead Door - Non-Insulated," $1,490.00 "
ComponentOption,16'W x 7'H Overhead Door - Economy Insulated," $1,730.00 "
ComponentOption,16'W x 7'H Overhead Door - Standard Insulated," $1,850.00 "
ComponentOption,16'W x 7'H Overhead Door - Carriage House Style," $2,620.00 "
ComponentOption,16'W x 8'H Overhead Door - Non-Insulated," $1,575.00 "
ComponentOption,16'W x 8'H Overhead Door - Economy Insulated," $1,855.00 "
ComponentOption,16'W x 8'H Overhead Door - Standard Insulated," $2,050.00 "
ComponentOption,16'W x 8'H Overhead Door - Carriage House Style," $2,825.00 "
Component,Overhead Door Opener w/ One Remote, $450.00 
Component,Additional Remote, $55.00 
Component,"36"" 6-Panel Steel Entry Door", $465.00 
Component,"36"" 9-lite Steel Entry Door", $665.00 
Component,"36"" 15-lite Steel Entry Door", $715.00 
Component,"36"" 3-lite Steel Entry Door w/ Dentil Shelf", $875.00 
Component,"72"" 9-lite Steel Entry Door"," $1,100.00 "
Component,"72"" 15-lite Steel Entry Door"," $1,295.00 "
Component,Steel Door Color Option, $180.00 
ComponentOption,3' Depth Ramp, $95.00 
ComponentOption,4' Depth Ramp, $120.00 
ComponentOption,5' Depth Ramp, $145.00 
ComponentOption,2' x 2' Single Hung with screen & grids - White, $90.00 
ComponentOption,2' x 2' Single Hung with screen & grids - Brown, $90.00 
ComponentOption,2' x 3' Single Hung with screen & grids - White, $110.00 
ComponentOption,2' x 3' Single Hung with screen & grids - Brown, $110.00 
ComponentOption,2' x 4' Single Hung with screen & grids - White, $135.00 
ComponentOption,2' x 4' Single Hung with screen & grids - Brown, $135.00 
ComponentOption,2' x 3' Window with Transom - White, $180.00 
ComponentOption,2' x 3' Window with Transom - Brown, $180.00 
ComponentOption,2' x 3' Vinyl SINGLE HUNG Window with screen & grids - White, $210.00 
ComponentOption,2' x 3' Vinyl SINGLE HUNG Window with screen & grids - Almond, $285.00 
ComponentOption,2' x 3' Vinyl SINGLE HUNG Window with screen & grids - Clay, $285.00 
ComponentOption,2' x 4' Vinyl SINGLE HUNG Window with screen & grids - White, $250.00 
ComponentOption,2' x 4' Vinyl SINGLE HUNG Window with screen & grids - Almond, $325.00 
ComponentOption,2' x 4' Vinyl SINGLE HUNG Window with screen & grids - Clay, $325.00 
ComponentOption,3' x 4' Vinyl SINGLE HUNG Window with screen & grids - White, $275.00 
ComponentOption,3' x 4' Vinyl SINGLE HUNG Window with screen & grids - Almond, $350.00 
ComponentOption,3' x 4' Vinyl SINGLE HUNG Window with screen & grids - Clay, $350.00 
Component,2' x 2' Bubble Skylight, $110.00 
Component,2' x 2' Skylight - installed in metal roof, $220.00 
Component,Cedar Shutter Set, $55.00 
Component,Cedar Flowerbox, $55.00 
Component,Cedar Shutter Set & Flowerbox, $110.00 
Component,Vinyl Shutter Set Panel Style, $70.00 
Component,Vinyl Flowerbox, $60.00 
Component,Vinyl Shutter Set & Flowerbox, $130.00 
ComponentOption,Windowpane Style, $355.00 
ComponentOption,Traditional Style, $355.00 
Component,Copper Colored Metal Roof, $90.00 
Component,8' x 1' (2 x 4 Joists), $45.00 
Component,10' x 1' (2 x 4 Joists), $50.00 
Component,12' x 1' (2 x 6 Joists), $65.00 
Component,14' x 1' (2 x 6 Joists), $75.00 
Component,16' x 1' (2 x 6 Joists), $85.00 
Component,8' x 2' (2 x 4 Joists), $55.00 
Component,10' x 2' (2 x 4 Joists), $65.00 
Component,12' x 2' (2 x 6 Joists), $90.00 
Component,14' x 2' (2 x 6 Joists), $100.00 
Component,16' x 2' (2 x 6 Joists), $110.00 
Component,8 x 2 work bench , $150.00 
Component,10 x 2 work bench, $170.00 
Component,12 x 2 work bench, $190.00 
Component,8' x 4' (2 x 4 Joists), $70.00 
Component,10' x 4' (2 x 4 Joists), $80.00 
Component,12' x 4' (2 x 6 Joists), $125.00 
Component,14' x 4' (2 x 8 Joists), $140.00 
Component,16' x 4' (2 x 8 Joists), $160.00 
ComponentOption,Metal Roof on Manchester & Craftsman, $4.50 
Component,"Site Prep w/Patio Blocks up to 8"" high", $2.25 
Component,Add 110v Light Inside Cupola,35
Component,36”,110
ComponentOption,30”,110
Component,6’,265
ComponentOption,6’,265
Component,7’,345
ComponentOption,7’,345
Component,Single Door Vinyl Upcharge,40
Component,Double Door Vinyl Upcharge,80
